uniq_id,product_name,product_url,pid,retail_price,discounted_price,brand
61388c9ac8bc1d7322257068b4aa3480,Alda Wok Glass Lid Kadhai,http://www.flipkart.com/alda-wok-glass-lid-kadhai/p/itmdvrh4fz9fcfex?pid=PTPDVPEXAA854NEY,PTPDVPEXAA854NEY,1790.0,1350.0,Alda
3f1a33752f6aec6116235a0cc6baadd2,3a AUTOCARE Car Mat Hyundai i20,http://www.flipkart.com/3a-autocare-car-mat-hyundai-i20/p/itmea7ha9jmtm7ze?pid=CRTEA7HAEXGZ7HNU,CRTEA7HAEXGZ7HNU,2300.0,1490.0,3a AUTOCARE
88bc09f57de7dc89cdff48f5a1a883a7,Voylla Artificial Classic Glossy Pearl Yellow Gold Plated Metal Necklace,http://www.flipkart.com/voylla-artificial-classic-glossy-pearl-yellow-gold-plated-metal-necklace/p/itmechhzqpkjuvn3?pid=NKCECHHZSUD4KNZF,NKCECHHZSUD4KNZF,539.0,479.0,Voylla
fb733e04ff2d72c59d8513eb574e81a2,Metallino Hard Anodised WGlass Lid Kadhai 3.5 L,http://www.flipkart.com/metallino-hard-anodised-wglass-lid-kadhai-3-5-l/p/itmeyw8hfxhg2v5g?pid=PTPEYW8HNV6G9YYR,PTPEYW8HNV6G9YYR,1510.0,1132.0,Metallino
ea5e3432b0e2dff39fb301d8e33802fb,The Crystal Jewel Chakra Cabochons with hand carved Chakra symbols Showpiece  -  3 cm,http://www.flipkart.com/crystal-jewel-chakra-cabochons-hand-carved-symbols-showpiece-3-cm/p/itme7mgdyutkn7db?pid=SHIE7MGDC6ECGFJ8,SHIE7MGDC6ECGFJ8,999.0,650.0,The Crystal Jewel
0c207782c3236cfcc24038d24fbf3797,"UpTown Metal, Alloy Necklace",http://www.flipkart.com/uptown-metal-alloy-necklace/p/itme7mmgrhkp9zw3?pid=NKCE7MMGFFZMNHWJ,NKCE7MMGFFZMNHWJ,399.0,250.0,UpTown
12bcce666a88b0c259e03569e072dc88,Murtiwala Showpiece  -  45 cm,http://www.flipkart.com/murtiwala-showpiece-45-cm/p/itme4q76ptdfgvwq?pid=SHIE4Q76YVE6GFHZ,SHIE4Q76YVE6GFHZ,9500.0,9500.0,Murtiwala
041132f067c57c34518e17ad0e74f97e,Smiledrive Cute Robot Universal Mobile Stand,http://www.flipkart.com/smiledrive-cute-robot-universal-mobile-stand/p/itme6tjtkrnfmvdu?pid=ACCE6TJTBHE6YHDJ,ACCE6TJTBHE6YHDJ,1299.0,999.0,Smiledrive
31dbce41ac5896744cb1f2f4cb42686d,Voylla Cubic Zirconia Fabric Necklace,http://www.flipkart.com/voylla-cubic-zirconia-fabric-necklace/p/itmdzhf7b9vjkg2c?pid=NKCDZHF7J4GGHHSG,NKCDZHF7J4GGHHSG,499.0,339.0,Voylla
e9fbd3b71c9c938336f8878454368509,Allure Auto CM 1117 Car Mat Tata Victa,http://www.flipkart.com/allure-auto-cm-1117-car-mat-tata-victa/p/itmecn2qgugpzzzk?pid=CRTECN2QT3YKZBQC,CRTECN2QT3YKZBQC,4900.0,1599.0,Allure Auto
